TabelaDinamica;CodigoTabDinamica;VersaoTabDinamica;Ano;COD_PLAN_REF;ESTRUTURA_COLUNAS
SPEDCONTABIL_DINAMICO_2014$SPEDECF_DINAMICA_U100_C$3$392;U100_C;3;2014;7;versão=3 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2015$SPEDECF_DINAMICA_U100_C$3$608;U100_C;3;2015;7;versão=3 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2016$SPEDECF_DINAMICA_U100_C$3$737;U100_C;3;2016;7;versão=3 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2017$SPEDECF_DINAMICA_U100_C$1$879;U100_C;1;2017;7;versão=1 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2018$SPEDECF_DINAMICA_U100_C$1$1054;U100_C;1;2018;7;versão=1 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2019$SPEDECF_DINAMICA_U100_C$1$1198;U100_C;1;2019;7;versão=1 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2020$SPEDECF_DINAMICA_U100_C$2$1350;U100_C;2;2020;7;versão=2 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2021$SPEDECF_DINAMICA_U100_C$4$1503;U100_C;4;2021;7;versão=4 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2014$SPEDECF_DINAMICA_U100_D$7$393;U100_D;7;2014;8;versão=7 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2015$SPEDECF_DINAMICA_U100_D$6$609;U100_D;6;2015;8;versão=6 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2016$SPEDECF_DINAMICA_U100_D$3$738;U100_D;3;2016;8;versão=3 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2017$SPEDECF_DINAMICA_U100_D$1$880;U100_D;1;2017;8;versão=1 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
